,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
99,sub-004,Green/Inverted/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0003039195382313198}","[[20  9]
 [ 0  6]]",100.0,82.5,84.5,100.0,70.7,74.3,100.0,40.6,40.0,1.0,0.509,0.525,100.0,100.0,100.0,1.0,0.455,1.0,0.657,0.684,1.0,0.553,0.571,1.0,0.825,0.845,0.415,0.027
100,sub-004,Green/Inverted/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[27  2]
 [ 1  5]]",90.2,71.2,88.2,96.3,87.9,91.4,96.2,67.5,71.4,0.863,0.492,0.72,81.1,46.7,83.3,0.927,0.735,0.852,0.493,0.793,0.879,0.519,0.769,0.902,0.712,0.882,8.574,0.037
101,sub-004,Green/Inverted/Faces,RF,"{'RF__n_estimators': 2758, 'RF__min_samples_split': 5, 'RF__min_samples_leaf': 5, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 32, 'RF__max_depth': 21, 'RF__class_weight': 'balanced_subsample'}","[[29  0]
 [ 5  1]]",100.0,56.7,58.3,100.0,85.7,85.7,100.0,30.0,100.0,1.0,0.189,0.377,100.0,13.3,16.7,1.0,0.5,1.0,0.16,0.224,1.0,0.183,0.286,1.0,0.567,0.583,14.647,1.089
102,sub-004,Green/Inverted/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 3.856620421163472}","[[21  9]
 [ 2  4]]",100.0,80.6,68.3,100.0,74.7,69.4,100.0,41.8,30.8,1.0,0.491,0.284,100.0,90.0,66.7,1.0,0.345,1.0,0.648,0.491,1.0,0.559,0.421,1.0,0.806,0.683,0.467,0.031
103,sub-004,Green/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[30  0]
 [ 4  2]]",86.4,63.8,66.7,94.0,86.8,88.9,87.5,41.7,100.0,0.776,0.312,0.542,75.0,30.0,33.3,0.847,0.714,0.784,0.322,0.419,0.807,0.34,0.5,0.864,0.638,0.667,8.428,0.033
104,sub-004,Green/Inverted/Silhouettes,RF,"{'RF__n_estimators': 10, 'RF__min_samples_split': 9, 'RF__min_samples_leaf': 2, 'RF__max_samples': 0.6, 'RF__max_leaf_nodes': 199, 'RF__max_depth': 48, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 6  0]]",87.7,50.0,50.0,95.9,83.3,83.3,100.0,0.0,0.0,0.848,0.0,0.0,75.5,0.0,0.0,0.938,0.0,0.816,0.0,0.0,0.859,0.0,0.0,0.877,0.5,0.5,6.366,0.613
105,sub-004,Target-Nontarget,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.0016102620275609393}","[[203  33]
 [  2  45]]",100.0,84.6,90.9,100.0,84.2,87.6,100.0,51.8,57.7,1.0,0.579,0.681,100.0,85.1,95.7,1.0,0.627,1.0,0.708,0.796,1.0,0.642,0.72,1.0,0.846,0.909,24.283,0.041
106,sub-004,Target-Nontarget,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[215  21]
 [  8  39]]",99.9,81.8,87.0,100.0,87.9,89.8,99.9,62.4,65.0,0.999,0.601,0.674,99.9,72.7,83.0,0.999,0.679,0.999,0.688,0.765,0.999,0.667,0.729,0.999,0.818,0.87,20.674,0.044
107,sub-004,Target-Nontarget,RF,"{'RF__n_estimators': 10, 'RF__min_samples_split': 10, 'RF__min_samples_leaf': 3, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 14, 'RF__max_depth': 37, 'RF__class_weight': 'balanced_subsample'}","[[219  17]
 [ 28  19]]",76.5,53.0,66.6,92.2,84.4,84.1,100.0,60.0,52.8,0.697,0.167,0.371,53.1,5.9,40.4,0.85,0.497,0.62,0.081,0.436,0.693,0.104,0.458,0.765,0.53,0.666,11.694,0.355
108,sub-005,Neutral/Upright/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.0003039195382313198}","[[23  7]
 [ 0  6]]",100.0,85.8,88.3,100.0,76.4,80.6,100.0,48.6,46.2,1.0,0.586,0.595,100.0,100.0,100.0,1.0,0.517,1.0,0.72,0.736,1.0,0.627,0.632,1.0,0.858,0.883,0.342,0.031
