,participant_id,Condition,Classifier,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
602,sub-023,Green/Upright/Faces,RF,"[[30  0]
 [ 6  0]]",100.0,66.7,50.0,100.0,86.7,83.3,100.0,100.0,0.0,1.0,0.535,0.0,100.0,33.3,0.0,1.0,0.0,1.0,0.419,0.0,1.0,0.5,0.0,1.0,0.667,0.5,0.554,0.062
603,sub-023,Green/Upright/Silhouettes,SVM,"[[16 14]
 [ 1  5]]",100.0,83.3,68.3,100.0,73.3,58.3,100.0,42.9,26.3,1.0,0.535,0.274,100.0,100.0,83.3,1.0,0.305,1.0,0.709,0.5,1.0,0.6,0.4,1.0,0.833,0.683,0.547,0.027
604,sub-023,Green/Upright/Silhouettes,LDA,"[[30  0]
 [ 4  2]]",82.4,83.3,66.7,93.0,93.3,88.9,87.5,100.0,100.0,0.726,0.784,0.542,66.7,66.7,33.3,0.824,0.714,0.719,0.743,0.419,0.757,0.8,0.5,0.824,0.833,0.667,0.909,0.061
605,sub-023,Green/Upright/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.567,0.067
606,sub-023,Neutral/Inverted/Faces,SVM,"[[21  9]
 [ 0  6]]",100.0,87.5,85.0,100.0,80.0,75.0,100.0,50.0,40.0,1.0,0.612,0.529,100.0,100.0,100.0,1.0,0.455,1.0,0.765,0.684,1.0,0.667,0.571,1.0,0.875,0.85,0.485,0.044
607,sub-023,Neutral/Inverted/Faces,LDA,"[[30  0]
 [ 5  1]]",90.5,79.2,58.3,96.9,86.7,86.1,100.0,66.7,100.0,0.884,0.583,0.378,81.0,66.7,16.7,0.955,0.5,0.86,0.667,0.224,0.895,0.667,0.286,0.905,0.792,0.583,1.212,0.034
608,sub-023,Neutral/Inverted/Faces,RF,"[[30  0]
 [ 4  2]]",100.0,66.7,66.7,100.0,86.7,88.9,100.0,100.0,100.0,1.0,0.535,0.542,100.0,33.3,33.3,1.0,0.714,1.0,0.419,0.419,1.0,0.5,0.5,1.0,0.667,0.667,0.54,0.074
609,sub-023,Neutral/Inverted/Silhouettes,SVM,"[[20 10]
 [ 2  4]]",100.0,75.0,66.7,100.0,80.0,66.7,100.0,50.0,28.6,1.0,0.452,0.255,100.0,66.7,66.7,1.0,0.323,1.0,0.605,0.473,1.0,0.571,0.4,1.0,0.75,0.667,0.41,0.025
610,sub-023,Neutral/Inverted/Silhouettes,LDA,"[[29  1]
 [ 4  2]]",91.5,66.7,65.0,95.3,86.7,86.1,85.7,100.0,66.7,0.829,0.535,0.405,85.7,33.3,33.3,0.857,0.556,0.857,0.419,0.394,0.857,0.5,0.444,0.915,0.667,0.65,1.153,0.054
611,sub-023,Neutral/Inverted/Silhouettes,RF,"[[30  0]
 [ 4  2]]",100.0,50.0,66.7,100.0,80.0,88.9,100.0,0.0,100.0,1.0,0.0,0.542,100.0,0.0,33.3,1.0,0.714,1.0,0.0,0.419,1.0,0.0,0.5,1.0,0.5,0.667,0.539,0.067
