,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
0,sub-010,Green/Upright/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[30  0]
 [ 4  2]]",89.7,66.2,66.7,95.2,86.2,88.9,89.1,49.2,100.0,0.824,0.358,0.542,81.5,36.7,33.3,0.874,0.714,0.837,0.37,0.419,0.851,0.382,0.5,0.897,0.662,0.667,8.234,0.032
0,sub-010,Green/Upright/Silhouettes,RF,"{'RF__n_estimators': 1230, 'RF__min_samples_split': 7, 'RF__min_samples_leaf': 3, 'RF__max_samples': 0.7000000000000001, 'RF__max_leaf_nodes': 104, 'RF__max_depth': 81, 'RF__class_weight': 'balanced_subsample'}","[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,83.4,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,6.715,0.508
0,sub-010,Neutral/Inverted/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 6.723357536499335}","[[20 10]
 [ 0  6]]",100.0,75.0,83.3,100.0,67.3,72.2,100.0,34.9,37.5,1.0,0.395,0.5,100.0,86.7,100.0,1.0,0.429,1.0,0.578,0.661,1.0,0.486,0.545,1.0,0.75,0.833,0.464,0.033
0,sub-010,Neutral/Inverted/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[28  2]
 [ 2  4]]",85.5,71.7,80.0,93.8,88.3,88.9,87.5,64.2,66.7,0.764,0.488,0.6,73.2,46.7,66.7,0.841,0.667,0.769,0.494,0.667,0.795,0.519,0.667,0.855,0.717,0.8,8.062,0.04
0,sub-010,Neutral/Inverted/Faces,RF,"{'RF__n_estimators': 10, 'RF__min_samples_split': 1, 'RF__min_samples_leaf': 3, 'RF__max_samples': 0.30000000000000004, 'RF__max_leaf_nodes': 86, 'RF__max_depth': 96, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 6  0]]",50.0,50.0,50.0,83.3,83.4,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,7.881,0.63
0,sub-010,Neutral/Inverted/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.00017433288221999874}","[[20 10]
 [ 0  6]]",100.0,82.1,83.3,100.0,73.8,72.2,100.0,41.4,37.5,1.0,0.507,0.5,100.0,95.0,100.0,1.0,0.429,1.0,0.668,0.661,1.0,0.569,0.545,1.0,0.821,0.833,0.326,0.031
0,sub-010,Neutral/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 3  3]]",88.7,64.6,73.3,95.1,83.3,88.9,90.2,38.3,75.0,0.816,0.291,0.553,79.2,36.7,50.0,0.876,0.682,0.821,0.345,0.557,0.842,0.347,0.6,0.887,0.646,0.733,8.102,0.031
0,sub-010,Neutral/Inverted/Silhouettes,RF,"{'RF__n_estimators': 498, 'RF__min_samples_split': 1, 'RF__min_samples_leaf': 4, 'RF__max_samples': 0.8, 'RF__max_leaf_nodes': 10, 'RF__max_depth': 67, 'RF__class_weight': 'balanced_subsample'}","[[30  0]
 [ 6  0]]",100.0,52.5,50.0,100.0,84.1,83.3,100.0,10.0,0.0,1.0,0.068,0.0,100.0,5.0,0.0,1.0,0.0,1.0,0.059,0.0,1.0,0.067,0.0,1.0,0.525,0.5,5.664,0.538
0,sub-010,Green/Inverted/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0009236708571873865}","[[22  8]
 [ 0  6]]",100.0,82.1,86.7,100.0,70.2,77.8,100.0,37.5,42.9,1.0,0.49,0.561,100.0,100.0,100.0,1.0,0.484,1.0,0.653,0.709,1.0,0.54,0.6,1.0,0.821,0.867,0.496,0.032
0,sub-010,Green/Inverted/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[30  0]
 [ 2  4]]",89.4,71.7,83.3,95.5,87.6,94.4,92.0,60.8,100.0,0.833,0.475,0.791,80.1,48.3,66.7,0.893,0.909,0.834,0.492,0.743,0.856,0.506,0.8,0.894,0.717,0.833,7.925,0.031
